Gene	sgRNA	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|beta	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|z	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|p-value	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|fdr	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|wald-p-value	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|wald-fdr	KBM7|beta	KBM7|z	KBM7|p-value	KBM7|fdr	KBM7|wald-p-value	KBM7|wald-fdr
ANP32E	10	-0.08808	-0.62276	0.602	0.94312	0.53344	0.88074	0.047615	0.31567	0.659	0.89892	0.75225	0.87167
ANXA11	10	0.22951	1.801	0.09	0.55689	0.071708	0.43573	0.0056266	0.044738	0.888	0.97408	0.96432	0.99312
ANXA1	10	0.14728	1.1937	0.262	0.75504	0.23261	0.68821	0.21099	1.7632	0.125	0.48443	0.077861	0.29623
ANXA7	10	-0.050363	-0.54347	0.781	0.9661	0.58681	0.89655	0.088631	0.86042	0.483	0.80165	0.38956	0.65582
AP1AR	10	0.040582	0.3151	0.701	0.94312	0.75269	0.93427	-0.18121	-1.4993	0.354	0.70577	0.1338	0.38402
AP3B2	10	0.031262	0.19532	0.756	0.96183	0.84514	0.95525	-0.48462	-3.4064	0.019	0.17431	0.00065814	0.011155
AP5Z1	10	0.063021	0.37075	0.596	0.94312	0.71082	0.92151	0.1304	0.80686	0.316	0.68845	0.41975	0.68022
APAF1	10	0.069891	0.51821	0.568	0.94312	0.60431	0.90762	0.14078	1.1156	0.282	0.66047	0.26457	0.54012
APBA1	10	-0.18056	-1.4493	0.244	0.74184	0.14726	0.5813	-0.19208	-1.5069	0.324	0.69231	0.13182	0.38321
APBB1	10	0.29151	2.4285	0.04	0.41667	0.015161	0.25612	0.20671	1.7361	0.131	0.48443	0.082553	0.30129
APBB2	10	0.26968	2.1676	0.055	0.47009	0.030186	0.33529	0.22797	1.8535	0.107	0.45923	0.063817	0.27308
APC	10	0.18624	1.6737	0.082	0.55689	0.094181	0.48547	0.12289	0.88313	0.342	0.70143	0.37717	0.64423
APEH	10	0.053269	0.21687	0.65	0.94312	0.82831	0.95318	-0.15221	-0.67464	0.443	0.77739	0.49991	0.74425
APEX1	10	-0.050573	-0.40471	0.793	0.9661	0.68569	0.92151	-0.48456	-3.6039	0.019	0.17431	0.00031343	0.0061456
APEX2	10	0.035152	0.27797	0.709	0.94312	0.78104	0.93689	-0.43568	-3.4456	0.027	0.225	0.00056971	0.0098226
API5	10	0.045892	0.26426	0.689	0.94312	0.79158	0.94062	-0.064103	-0.40922	0.795	0.95449	0.68238	0.83625
APITD1	10	-0.0342	-0.30854	0.899	0.9661	0.75767	0.9354	-0.081851	-0.6674	0.727	0.92875	0.50452	0.74425
APLF	10	0.031562	0.15327	0.756	0.96183	0.87819	0.96824	-0.25377	-1.3842	0.182	0.56173	0.16629	0.42564
APLP2	10	0.16981	1.2942	0.198	0.72143	0.19561	0.66328	0.14533	1.1273	0.271	0.65617	0.25961	0.53842
APOA1	10	0.11387	1.0746	0.376	0.86636	0.28254	0.73578	0.052391	0.50758	0.639	0.89488	0.61174	0.80021
APOBEC1	10	0.066277	0.14037	0.586	0.94312	0.88836	0.97089	-0.063262	-0.14385	0.797	0.95449	0.88562	0.96263
APOBEC3A	10	0.034637	0.26206	0.74	0.95367	0.79328	0.94062	0.1067	0.91689	0.415	0.75455	0.3592	0.63128
APOBEC3B	10	-0.017895	-0.16153	0.985	0.98796	0.87168	0.96531	-0.0559	-0.41013	0.83	0.97304	0.68171	0.83625
APOBEC3C	10	0.064743	0.55787	0.593	0.94312	0.57693	0.89599	0.15283	1.4075	0.257	0.64951	0.15927	0.41613
APOBEC3F	10	0.15816	0.98985	0.227	0.74184	0.32225	0.763	0.10476	0.67335	0.42	0.75676	0.50072	0.74425
APOBEC3G	10	0.13792	0.93695	0.297	0.79839	0.34879	0.77975	0.15544	1.089	0.243	0.63281	0.27617	0.55345
APOBEC3H	10	0.064057	0.48464	0.596	0.94312	0.62793	0.91164	0.10346	0.83691	0.423	0.75943	0.40264	0.66995
APPBP2	10	-0.24425	-2.7179	0.124	0.59809	0.0065705	0.15644	0.097876	1.0705	0.447	0.77739	0.2844	0.56206
APPL1	10	0.026103	0.21113	0.784	0.9661	0.83279	0.95503	0.046834	0.42992	0.662	0.89892	0.66725	0.82888
APPL2	10	0.068832	0.4666	0.567	0.94312	0.64079	0.91164	0.14837	1.0523	0.265	0.64951	0.29267	0.57387
APP	10	0.22125	1.5555	0.1	0.57143	0.11983	0.5396	0.30095	2.1453	0.031	0.23704	0.031931	0.19236
APRT	10	-0.12159	-0.68328	0.683	0.94312	0.49443	0.86138	-0.48467	-4.2704	0.019	0.17431	1.951e-05	0.0005912
APTX	10	-0.24436	-1.6914	0.124	0.59809	0.090758	0.48275	-0.097579	-0.66752	0.657	0.89892	0.50444	0.74425
AQP1	10	0.0090731	0.040887	0.864	0.9661	0.96739	0.99451	0.18102	1.5273	0.183	0.56308	0.1267	0.37817
AQR	10	-0.45702	-1.9629	0.006	0.1875	0.049658	0.40703	-0.66293	-2.8209	0.003	0.054545	0.0047889	0.054444
ARAF	10	0.29421	2.1505	0.04	0.41667	0.031517	0.33529	0.35886	2.6239	0.01	0.11765	0.0086923	0.082081
ARAP1	10	-0.09797	-1.0194	0.566	0.94312	0.308	0.75491	0.092475	0.91725	0.47	0.7916	0.35901	0.63128
ARFGAP1	10	-0.077082	-0.59834	0.651	0.94312	0.54961	0.88632	0.0058151	0.041716	0.886	0.97408	0.96673	0.99374
ARFGAP2	10	0.26797	1.933	0.055	0.47009	0.053233	0.41276	0.15289	1.1217	0.256	0.64951	0.26198	0.53842
ARFGEF1	10	-0.44683	-2.4393	0.007	0.18919	0.014715	0.25612	-0.59145	-3.2035	0.006	0.089552	0.0013576	0.019675
ARGFX	10	0.052273	0.37285	0.645	0.94312	0.70926	0.92151	0.36992	2.72	0.009	0.11538	0.0065273	0.068709
ARGLU1	10	-0.46952	-2.5466	0.005	0.18519	0.010879	0.22665	-0.30985	-1.6418	0.097	0.43498	0.10063	0.32885
ARHGAP19	10	0.24233	1.4396	0.071	0.53333	0.14998	0.58357	0.27652	1.669	0.05	0.3125	0.095123	0.31913
ARHGAP22	10	-0.1147	-0.72398	0.502	0.94184	0.46908	0.85287	-0.21163	-1.2953	0.275	0.66047	0.19523	0.46373
ARHGAP35	10	0.044145	0.29617	0.701	0.94312	0.7671	0.93675	0.12082	0.93189	0.356	0.70611	0.35139	0.62766
ARHGAP39	10	0.090764	0.85018	0.467	0.91211	0.39523	0.80503	-0.18647	-1.8271	0.343	0.70143	0.067678	0.27953
ARHGAP4	10	-0.15224	-1.3598	0.341	0.85037	0.1739	0.63466	0.084474	0.74266	0.505	0.81481	0.45769	0.70849
ARHGEF10	10	0.15346	1.2173	0.249	0.74184	0.22349	0.68454	0.097899	0.81201	0.447	0.77739	0.41679	0.67991
ARHGEF11	10	0.087544	0.76498	0.48	0.91825	0.44428	0.82932	0.05156	0.47161	0.644	0.89488	0.6372	0.81385
ARHGEF2	10	-0.14718	-1.2951	0.356	0.85407	0.19528	0.66328	-0.16387	-1.405	0.398	0.74164	0.16003	0.41613
ARID1A	10	-0.02075	-0.16184	0.974	0.98285	0.87143	0.96531	-0.24249	-1.5977	0.196	0.57143	0.11011	0.34627
ARID1B	10	-0.42781	-2.7437	0.012	0.26087	0.0060753	0.15188	-0.13326	-0.85044	0.513	0.81717	0.39508	0.66178
ARID2	10	0.2607	1.9551	0.059	0.47581	0.050569	0.40782	-0.27335	-2.085	0.148	0.49664	0.037072	0.20278
ARID3A	10	0.10646	0.4342	0.404	0.87826	0.66414	0.92151	0.50207	2.1378	0	0	0.032535	0.19275
ARID3B	10	0.0013074	-0.019282	0.895	0.9661	0.98462	0.99451	-0.28236	-2.4709	0.134	0.48443	0.013476	0.1123
ARID3C	10	-0.27755	-2.1796	0.088	0.55689	0.02929	0.3291	-0.18896	-1.4686	0.338	0.70143	0.14195	0.38998
ARID4A	10	0.1835	1.488	0.162	0.664	0.13675	0.56914	0.06358	0.52549	0.587	0.86277	0.59924	0.79583
ARID4B	10	0.040138	0.27644	0.706	0.94312	0.78221	0.93689	0.13977	1.063	0.284	0.66047	0.28776	0.56534
ARID5A	10	-0.18297	-1.3393	0.233	0.74184	0.18047	0.64163	0.035821	0.25577	0.718	0.92875	0.79813	0.89677
ARID5B	10	0.07077	0.58232	0.547	0.94312	0.56035	0.88992	0.084107	0.7042	0.506	0.81481	0.48131	0.72979
ARL2BP	10	0.14282	1.3398	0.28	0.77562	0.18031	0.64163	0.055286	0.53246	0.625	0.88778	0.59441	0.79466
ARL2	10	-0.44843	-1.6449	0.007	0.18919	0.099992	0.49166	-0.89559	-3.2319	0	0	0.0012296	0.018083
ARL3	10	0.12908	0.75903	0.327	0.84278	0.44783	0.82932	-0.03837	-0.23227	0.902	0.97408	0.81633	0.90905
ARL4C	10	-0.043443	-0.49008	0.843	0.9661	0.62407	0.91164	0.058925	0.62661	0.608	0.87734	0.53091	0.75473
ARL4D	10	-0.20558	-1.7434	0.192	0.71642	0.081266	0.46705	-0.30644	-2.5384	0.103	0.44978	0.011137	0.096009
ARL6IP4	10	0.10615	0.95124	0.399	0.87118	0.34148	0.77975	0.17577	1.6217	0.191	0.56932	0.10487	0.33724
ARL8A	10	0.10167	0.78482	0.419	0.88679	0.43256	0.82049	0.18594	1.4882	0.168	0.53312	0.1367	0.38402
ARL8B	10	0.19435	1.6744	0.132	0.61111	0.094043	0.48547	0.17314	1.5083	0.197	0.57267	0.13148	0.38321
ARNT2	10	0.061828	0.31962	0.601	0.94312	0.74926	0.93427	0.31678	1.7417	0.021	0.18421	0.081555	0.30094
ARNTL2	10	-0.30502	-1.7684	0.058	0.47581	0.077001	0.45834	-0.28874	-1.6542	0.124	0.48438	0.098087	0.32479
ARNTL	10	0.11548	0.9469	0.367	0.86557	0.34369	0.77975	0.15977	1.3373	0.232	0.62032	0.18114	0.44909
ARNT	10	0.061305	0.46925	0.618	0.94312	0.63889	0.91164	0.14276	1.2095	0.28	0.66047	0.22647	0.49711
ARRB2	10	0.045952	0.8007	0.455	0.91182	0.4233	0.81405	0.10518	0.92757	0.417	0.75543	0.35363	0.62766
ARVCF	10	-0.1855	-1.6215	0.221	0.73667	0.1049	0.49717	0.038857	0.32336	0.702	0.91525	0.74642	0.86923
ARX	10	0.056143	0.29889	0.615	0.94312	0.76502	0.93675	0.25853	1.3786	0.075	0.39691	0.16803	0.42807
AR	10	0.21248	1.2793	0.111	0.59809	0.2008	0.66491	0.34361	2.07	0.013	0.13402	0.038457	0.20787
ASB8	10	-0.15059	-1.3129	0.341	0.85037	0.18922	0.65248	0.11992	1.0168	0.358	0.70611	0.30927	0.58362
ASB9	10	-0.046144	-0.51296	0.843	0.9661	0.60798	0.90762	-0.026995	-0.29985	0.952	0.98347	0.7643	0.88013
ASCC1	10	0.16404	1.1066	0.22	0.73667	0.26845	0.72436	-0.28822	-2.0115	0.126	0.48443	0.044273	0.22821
ASCC3	10	0.341	1.883	0.016	0.2963	0.059697	0.42872	0.15416	0.86112	0.251	0.64615	0.38917	0.65582
ASCL1	10	0.016272	0.1319	0.834	0.9661	0.89506	0.97501	0.16484	1.6427	0.213	0.59167	0.10044	0.32885
ASCL2	10	0.40827	2.3746	0.007	0.18919	0.017569	0.26269	0.046205	0.27317	0.663	0.89892	0.78472	0.89008
ASCL3	10	-0.011029	-0.12595	0.95	0.97336	0.89977	0.97669	0.087686	0.82679	0.485	0.80165	0.40836	0.67532
ASF1A	10	0.032353	0.2608	0.749	0.95903	0.79424	0.94062	0.1387	1.2434	0.289	0.6659	0.21371	0.48571
ASF1B	10	-4.0421e-05	-0.038704	0.903	0.9661	0.96913	0.99451	-0.030223	-0.26337	0.939	0.98119	0.79227	0.89514
ASH1L	10	-0.12806	-1.0534	0.424	0.88703	0.29216	0.74339	-0.092387	-0.73186	0.683	0.90584	0.46425	0.71424
ASH2L	10	-0.4332	-2.4213	0.01	0.2381	0.015465	0.25612	-0.93737	-5.1796	0	0	2.2238e-07	1.8355e-05
ASNA1	10	-0.38204	-1.7207	0.022	0.33333	0.085298	0.47126	-0.79501	-3.5354	0.001	0.021739	0.00040708	0.0074015
ASPA	10	-0.0085137	0.31473	0.706	0.94312	0.75296	0.93427	-0.1205	-1.0433	0.56	0.84743	0.29681	0.57971
ASPM	10	-0.38237	-2.6186	0.022	0.33333	0.0088296	0.19621	-0.4946	-3.3162	0.016	0.15534	0.0009124	0.014716
ASRGL1	10	0.10375	0.86093	0.418	0.88679	0.38928	0.80503	0.0025969	0.022599	0.898	0.97408	0.98197	0.99374
ASUN	10	0.070445	0.31067	0.564	0.94312	0.75605	0.93455	-0.2871	-1.335	0.129	0.48443	0.18188	0.44909
ASXL1	10	0.10781	1.1855	0.394	0.86842	0.23582	0.6924	-0.064574	-0.73472	0.792	0.95449	0.46251	0.71375
ASXL2	10	0.022446	0.15337	0.805	0.9661	0.87811	0.96824	0.13024	1.0403	0.316	0.68845	0.2982	0.58128
ASXL3	10	-0.038517	-0.51401	0.718	0.94737	0.60725	0.90762	0.037816	0.2854	0.709	0.92198	0.77533	0.88508
ASZ1	10	0.21353	1.8738	0.113	0.59809	0.060955	0.42872	0.20162	1.7896	0.138	0.48443	0.073525	0.29061
ATAD2	10	0.13823	1.2446	0.296	0.79784	0.21327	0.68007	0.20452	1.8913	0.135	0.48443	0.058587	0.26187
ATAD5	10	0.19432	1.1717	0.141	0.62667	0.24133	0.6954	-0.014494	-0.089766	0.983	0.99193	0.92847	0.97837
ATE1	10	0.23858	1.5444	0.077	0.54545	0.12249	0.5396	0.16794	1.1045	0.206	0.58689	0.26937	0.54308
ATF1	10	0.12461	0.95082	0.349	0.85158	0.3417	0.77975	0.055515	0.43929	0.624	0.88778	0.66045	0.82524
ATF2	10	-0.089477	-0.82016	0.608	0.94312	0.41213	0.80503	0.040889	0.361	0.688	0.90765	0.7181	0.85801
ATF3	10	-0.10711	-0.89635	0.528	0.94312	0.37007	0.79928	0.081424	0.65933	0.514	0.81717	0.50969	0.74594
ATF4	10	-0.36996	-3.3658	0.025	0.35616	0.00076324	0.046179	-0.28733	-2.5876	0.129	0.48443	0.0096636	0.086282
ATF5	10	-0.024346	-0.29359	0.935	0.96691	0.76907	0.93675	0.13408	1.3089	0.306	0.67699	0.19055	0.4591
ATF6B	10	0.043699	0.29044	0.708	0.94312	0.77148	0.93689	0.026257	0.21495	0.769	0.95074	0.82981	0.91793
ATF6	10	-0.089538	-0.55616	0.603	0.94312	0.5781	0.89599	0.20494	1.2237	0.134	0.48443	0.22105	0.49268
ATF7IP2	10	0.084606	0.92596	0.481	0.91825	0.35447	0.78202	0.20112	2.2403	0.139	0.48443	0.025072	0.16715
ATF7IP	10	0.29534	2.0383	0.04	0.41667	0.041524	0.36747	0.091804	0.64163	0.471	0.7916	0.52111	0.75371
ATF7	10	0.15677	1.3906	0.234	0.74184	0.16434	0.61528	0.1612	1.472	0.23	0.62032	0.14102	0.3885
ATMIN	10	-0.17493	-0.9646	0.265	0.75931	0.33474	0.77735	-0.53159	-2.9183	0.01	0.11765	0.0035199	0.042926
ATM	10	0.29663	2.0009	0.04	0.41667	0.045404	0.39098	0.29192	1.989	0.035	0.24648	0.046697	0.23825
ATN1	10	-0.030539	-0.22321	0.912	0.9661	0.82337	0.95298	0.14032	0.89401	0.282	0.66047	0.37132	0.6413
ATOH8	10	0.0058754	0.018462	0.873	0.9661	0.98527	0.99451	-0.051835	-0.39773	0.848	0.97408	0.69083	0.83984
ATP1A3	10	0.051885	0.27421	0.653	0.94312	0.78392	0.93689	-0.31576	-1.7856	0.094	0.43119	0.074165	0.29072
ATP1B4	10	0.04771	0.45802	0.657	0.94312	0.64694	0.91164	0.10351	0.99451	0.423	0.75943	0.31998	0.59623
ATP2A3	10	-0.0060273	0.31682	0.698	0.94312	0.75138	0.93427	0.29921	2.4423	0.031	0.23704	0.014596	0.11866
ATP5A1	10	-0.29132	-1.7327	0.053	0.47009	0.083143	0.46725	-0.81252	-4.38	0	0	1.1866e-05	0.00039554
ATP6V0A1	10	-0.011017	-0.11756	0.965	0.98077	0.90642	0.97669	-0.099816	-0.7375	0.647	0.89488	0.46082	0.71224
ATPAF2	10	-0.37288	-1.9175	0.046	0.46465	0.055176	0.42119	-0.52214	-3.053	0.012	0.13402	0.0022657	0.030617
ATRAID	10	0.052079	0.40311	0.65	0.94312	0.68687	0.92151	0.06122	0.5053	0.599	0.87191	0.61335	0.80021
ATRIP	10	-0.07636	-0.52785	0.664	0.94312	0.59761	0.90515	-0.27512	-1.7981	0.145	0.49153	0.072168	0.28703
ATRX	10	0.25739	1.8924	0.057	0.47581	0.058443	0.42872	0.1613	1.1862	0.23	0.62032	0.23556	0.50827
ATR	10	0.062188	0.29406	0.602	0.94312	0.76871	0.93675	-0.42358	-2.1394	0.032	0.23704	0.032407	0.19275
ATXN1L	10	0.076843	0.54908	0.534	0.94312	0.58295	0.89599	0.33908	2.568	0.013	0.13402	0.010229	0.090518
ATXN1	10	-0.047191	-0.3712	0.81	0.9661	0.71049	0.92151	0.085061	0.62368	0.501	0.81199	0.53284	0.75473
ATXN2L	10	-0.18157	-1.2372	0.24	0.74184	0.21601	0.68454	-0.13867	-0.92438	0.493	0.80687	0.35529	0.62883
ATXN2	10	-0.032153	-0.2337	0.91	0.9661	0.81522	0.95298	0.39244	2.6133	0.005	0.080645	0.0089678	0.082308
ATXN3	10	-0.2132	-1.431	0.176	0.6875	0.15242	0.59079	-0.092581	-0.61228	0.683	0.90584	0.54035	0.75892
ATXN7L3	10	0.14366	0.76941	0.28	0.77562	0.44165	0.82826	-0.11552	-0.64044	0.578	0.85377	0.52189	0.75371
ATXN7	10	-0.049897	-0.50296	0.802	0.9661	0.61499	0.90762	0.0024701	0.023452	0.898	0.97408	0.98129	0.99374
AUNIP	10	0.025091	0.22482	0.792	0.9661	0.82212	0.95298	0.10629	1.123	0.415	0.75455	0.26145	0.53842
AUP1	10	-0.094006	-0.81694	0.59	0.94312	0.41397	0.80503	0.029581	0.24798	0.753	0.94243	0.80415	0.89828
AURKAIP1	10	-0.25746	-1.8234	0.108	0.59783	0.068236	0.43298	-0.16787	-1.1741	0.381	0.7304	0.24035	0.51378
AURKA	10	0.16309	1.1549	0.218	0.73667	0.24814	0.69898	-0.053709	-0.38893	0.841	0.97344	0.69733	0.8432
AURKB	10	-0.33395	-1.8615	0.078	0.54545	0.06267	0.42872	-0.29281	-1.896	0.117	0.47755	0.05796	0.26108
AURKC	10	0.19839	1.7281	0.137	0.61712	0.08397	0.46725	0.1965	1.7819	0.144	0.4898	0.074766	0.29092
AVPI1	10	-0.10203	-0.99731	0.551	0.94312	0.31862	0.75974	-0.0053809	-0.050745	0.939	0.98119	0.95953	0.99125
AXIN1	10	0.099985	0.61944	0.423	0.88679	0.53563	0.88074	0.30607	1.9568	0.029	0.23016	0.050376	0.24252
AXIN2	10	0.24236	1.6566	0.072	0.53333	0.097597	0.48799	-0.064269	-0.44753	0.794	0.95449	0.65449	0.8212
AXL	10	0.039144	0.34833	0.708	0.94312	0.72759	0.9262	0.20179	1.9696	0.138	0.48443	0.048879	0.24171
AZI1	10	0.0039152	-0.0073335	0.89	0.9661	0.99415	0.99714	-0.11342	-1.3677	0.591	0.86277	0.17142	0.43506
B9D2	10	0.026928	0.31343	0.783	0.9661	0.75395	0.93427	-0.069588	-0.92917	0.772	0.95074	0.3528	0.62766
BAALC	10	0.16571	1.2221	0.207	0.73333	0.22167	0.68454	0.020287	0.15133	0.81	0.95745	0.87972	0.9583
BABAM1	10	-0.012086	-0.16847	0.969	0.98077	0.86622	0.96353	-0.034581	-0.35343	0.914	0.97556	0.72377	0.86084
BACH1	10	0.22206	2.081	0.098	0.57143	0.037434	0.36344	0.079458	0.75476	0.525	0.8307	0.45039	0.70484
BACH2	10	-0.13213	-1.3508	0.415	0.88679	0.17676	0.6377	-0.012253	-0.12157	0.97	0.98778	0.90324	0.96914
BAG1	10	-0.034132	-0.22946	0.901	0.9661	0.81851	0.95298	-0.39184	-2.4146	0.044	0.28947	0.015752	0.1243
BAG4	10	-0.060139	-0.3709	0.739	0.95367	0.71071	0.92151	0.077181	0.44764	0.532	0.83204	0.65441	0.8212
BAG6	10	-0.27721	-1.8686	0.081	0.55479	0.061673	0.42872	-0.59634	-3.9026	0.006	0.089552	9.5174e-05	0.0025046
BAHD1	10	0.086092	0.56636	0.483	0.91825	0.57115	0.89381	-0.16683	-1.1483	0.385	0.73194	0.25086	0.52701
BAIAP2L1	10	0.087376	0.54881	0.481	0.91825	0.58314	0.89599	0.1779	1.1755	0.188	0.56627	0.2398	0.51378
BAIAP2	10	-0.21377	-2.48	0.174	0.68235	0.013139	0.25267	-0.11522	-1.3094	0.581	0.85693	0.19041	0.4591
BANF2	10	0.15134	1.1827	0.249	0.74184	0.23694	0.69281	0.28214	2.2848	0.046	0.29677	0.022323	0.15548
BANP	10	-0.25395	-1.6877	0.192	0.71642	0.091477	0.48401	-0.21188	-1.7038	0.274	0.66047	0.088416	0.31234
BAP1	10	-0.29782	-1.6802	0.063	0.48462	0.092918	0.48547	-0.92549	-5.1264	0	0	2.9539e-07	2.1099e-05
BARD1	10	0.25636	1.9329	0.061	0.48031	0.053245	0.41276	0.053182	0.40562	0.637	0.89488	0.68502	0.83846
BARHL1	10	0.15572	0.82187	0.237	0.74184	0.41115	0.80503	0.34264	1.8545	0.013	0.13402	0.063672	0.27308
BARHL2	10	0.14744	1.1085	0.256	0.74854	0.26766	0.72436	-0.034101	-0.2623	0.918	0.97556	0.79309	0.89514
BARX1	10	-0.035202	-0.17841	0.883	0.9661	0.8584	0.95697	0.27837	1.2607	0.05	0.3125	0.20741	0.47919
BARX2	10	0.047401	0.35335	0.67	0.94312	0.72382	0.92561	0.062049	0.49333	0.593	0.86443	0.62178	0.80437
BASP1	10	0.30233	1.5263	0.035	0.4023	0.12694	0.55191	0.43163	2.2103	0.003	0.054545	0.027084	0.17587
BATF2	10	-0.22847	-2.1413	0.142	0.62719	0.032252	0.33794	-0.10184	-0.93593	0.64	0.89488	0.34931	0.62712
BATF3	10	-0.14113	-0.74451	0.383	0.86696	0.45657	0.83774	0.07214	0.37125	0.552	0.84533	0.71045	0.854
BATF	10	0.13914	1.9901	0.15	0.6453	0.046583	0.39477	-0.080638	-0.86675	0.73	0.92875	0.38608	0.65437
BAX	10	0.079125	0.4815	0.53	0.94312	0.63016	0.91164	0.34353	2.2553	0.013	0.13402	0.024112	0.16292
BAZ1A	10	0.10952	0.58403	0.389	0.86696	0.5592	0.88992	-0.30395	-1.672	0.105	0.45455	0.094531	0.31913
BAZ1B	10	-0.35622	-2.3452	0.031	0.38095	0.019016	0.26269	0.20294	1.3304	0.138	0.48443	0.18339	0.45058
BAZ2A	10	-0.13416	-1.0079	0.407	0.88286	0.31351	0.7578	-0.27197	-1.9775	0.15	0.5	0.047981	0.24064
BAZ2B	10	-0.16874	-1.5158	0.277	0.77562	0.12956	0.55512	-0.21453	-1.8886	0.262	0.64951	0.058948	0.26199
BBS9	10	0.12709	0.82275	0.336	0.85037	0.41065	0.80503	0.09687	0.64877	0.451	0.77893	0.51649	0.75071
BBX	10	0.20515	1.6134	0.12	0.59809	0.10665	0.4984	0.35498	2.8135	0.01	0.11765	0.0049	0.054444
BCAS2	10	-0.44927	-3.1587	0.007	0.18919	0.0015848	0.058731	-0.48428	-3.3612	0.019	0.17431	0.00077609	0.012935
BCAS3	10	-0.0060362	-0.10592	0.929	0.9667	0.91565	0.97987	0.12481	1.2524	0.334	0.70143	0.21044	0.48347
BCAT1	10	0.2916	2.1235	0.041	0.42268	0.033713	0.34756	0.086599	0.63883	0.493	0.80687	0.52293	0.75371
BCCIP	10	-0.037709	-0.26524	0.873	0.9661	0.79082	0.94062	-0.24282	-1.5538	0.196	0.57143	0.12023	0.36656
BCHE	10	0.36335	2.0642	0.014	0.28571	0.038996	0.36747	0.17994	1.0269	0.186	0.56627	0.30449	0.5829
BCKDK	10	0.26893	2.8783	0.055	0.47009	0.0039985	0.11028	0.13015	1.415	0.316	0.68845	0.15708	0.41613
BCL10	10	-0.055959	-0.38463	0.768	0.9661	0.70051	0.92151	0.073863	0.479	0.543	0.83871	0.63194	0.81077
BCL11A	10	0.29695	1.8412	0.04	0.41667	0.065594	0.42872	-0.10087	-0.63242	0.643	0.89488	0.52711	0.75371
BCL11B	10	0.10225	0.68693	0.418	0.88679	0.49213	0.86138	0.14739	1.0243	0.267	0.64964	0.30571	0.5829
BCL2L10	10	0.15448	0.99476	0.24	0.74184	0.31985	0.75974	0.10097	0.67094	0.439	0.77739	0.50226	0.74425
BCL2L13	10	0.02491	0.11706	0.819	0.9661	0.90681	0.97669	0.093963	0.71432	0.465	0.7916	0.47503	0.72524
BCL2L1	10	-0.21707	-1.1307	0.166	0.664	0.25818	0.71346	-0.87517	-4.4383	0	0	9.0667e-06	0.00032381
BCL2	10	-0.83622	-3.4726	0	0	0.00051549	0.037695	-1.1664	-4.6693	0	0	3.0229e-06	0.00013741
BCL3	10	0.085072	0.40561	0.503	0.94195	0.68503	0.92151	-0.10387	-0.53059	0.631	0.8925	0.59571	0.79533
BCL6B	10	0.16642	1.7274	0.113	0.59809	0.084105	0.46725	0.099529	0.81372	0.443	0.77739	0.41581	0.67991
BCL6	10	0.024638	0.20006	0.784	0.9661	0.84143	0.95525	-0.0024188	-0.02108	0.924	0.97571	0.98318	0.99374
BCL9L	10	0.065058	0.35938	0.585	0.94312	0.71931	0.9222	0.25652	1.4854	0.077	0.39691	0.13744	0.38402
BCL9	10	0.098773	0.85777	0.443	0.90593	0.39102	0.80503	0.05466	0.50495	0.631	0.8925	0.61359	0.80021
BCLAF1	10	-0.14391	-1.1594	0.375	0.86636	0.2463	0.69773	-0.33838	-2.6579	0.074	0.39691	0.007863	0.077852
BCORL1	10	-0.0069654	-0.073915	0.913	0.96614	0.94108	0.98873	0.12442	1.3141	0.335	0.70143	0.18882	0.4572
BCOR	10	0.29121	1.9713	0.04	0.41667	0.048686	0.40572	0.0021258	0.014383	0.898	0.97408	0.98852	0.99374
BCR	10	0.01974	0.057686	0.841	0.9661	0.954	0.99065	-1.6485	-7.9989	0	0	1.255e-15	1.255e-12
BDH1	10	0.23214	1.6134	0.092	0.55689	0.10666	0.4984	0.29833	2.1498	0.032	0.23704	0.03157	0.19236
BDP1	10	-0.67128	-3.7753	0	0	0.00015983	0.031615	-0.43092	-2.6075	0.029	0.23016	0.0091193	0.082308
BECN1	10	0.055103	0.41747	0.648	0.94312	0.67633	0.92151	0.052545	0.43696	0.639	0.89488	0.66214	0.82524
BET1L	10	0.054678	0.37639	0.655	0.94312	0.70662	0.92151	0.14863	1.1681	0.265	0.64951	0.24275	0.51539
BEX1	10	0.099701	0.95547	0.415	0.88679	0.33934	0.77975	0.29352	2.8148	0.035	0.24648	0.0048803	0.054444
BEX2	10	-0.071452	-0.64635	0.703	0.94312	0.51805	0.87361	-0.024647	-0.22294	0.964	0.98669	0.82358	0.91407
BEX4	10	0.053118	0.2847	0.628	0.94312	0.77588	0.93689	0.2819	1.5172	0.046	0.29677	0.12922	0.38229
BHLHA15	10	0.12255	1.0464	0.352	0.8523	0.29539	0.74339	0.015797	0.13959	0.834	0.97316	0.88898	0.96294
BHLHB9	10	0.16295	1.545	0.209	0.73333	0.12235	0.5396	0.22352	2.1206	0.112	0.47257	0.033955	0.19293
BHLHE23	10	0.069876	0.57995	0.576	0.94312	0.56195	0.89024	0.14676	1.3412	0.267	0.64964	0.17985	0.44851
