Gene	sgRNA	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|beta	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|z	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|p-value	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|fdr	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|wald-p-value	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|wald-fdr	KBM7|beta	KBM7|z	KBM7|p-value	KBM7|fdr	KBM7|wald-p-value	KBM7|wald-fdr
ANP32E	10	-0.093986	-0.62276	0.586	0.9662	0.53344	0.88074	0.047615	0.31567	0.657	0.89037	0.75225	0.87167
ANXA11	10	0.22649	1.801	0.083	0.54902	0.071708	0.43573	0.0056266	0.044738	0.858	0.95866	0.96432	0.99312
ANXA1	10	0.14294	1.1937	0.26	0.79511	0.23261	0.68821	0.21099	1.7632	0.123	0.4881	0.077861	0.29623
ANXA7	10	-0.056002	-0.54347	0.774	0.97382	0.58681	0.89655	0.088631	0.86042	0.505	0.81947	0.38956	0.65582
AP1AR	10	0.038067	0.3151	0.74	0.97154	0.75269	0.93427	-0.18121	-1.4993	0.357	0.71032	0.1338	0.38402
AP3B2	10	0.027752	0.19532	0.787	0.97655	0.84514	0.95525	-0.48462	-3.4064	0.016	0.16842	0.00065814	0.011155
AP5Z1	10	0.059946	0.37075	0.619	0.9662	0.71082	0.92151	0.1304	0.80686	0.315	0.68913	0.41975	0.68022
APAF1	10	0.065453	0.51821	0.595	0.9662	0.60431	0.90762	0.14078	1.1156	0.287	0.67523	0.26457	0.54012
APBA1	10	-0.18489	-1.4493	0.282	0.80508	0.14726	0.5813	-0.19208	-1.5069	0.323	0.69462	0.13182	0.38321
APBB1	10	0.28917	2.4285	0.031	0.36471	0.015161	0.25612	0.20671	1.7361	0.128	0.49612	0.082553	0.30129
APBB2	10	0.26662	2.1676	0.043	0.42157	0.030186	0.33529	0.22797	1.8535	0.109	0.4856	0.063817	0.27308
APC	10	0.23291	1.6737	0.074	0.52857	0.094181	0.48547	0.12289	0.88313	0.346	0.70741	0.37717	0.64423
APEH	10	0.048881	0.21687	0.673	0.9662	0.82831	0.95318	-0.15221	-0.67464	0.446	0.78975	0.49991	0.74425
APEX1	10	-0.054345	-0.40471	0.78	0.97382	0.68569	0.92151	-0.48456	-3.6039	0.016	0.16842	0.00031343	0.0061456
APEX2	10	0.035111	0.27797	0.751	0.97154	0.78104	0.93689	-0.43568	-3.4456	0.028	0.25225	0.00056971	0.0098226
API5	10	0.041397	0.26426	0.717	0.97154	0.79158	0.94062	-0.064103	-0.40922	0.803	0.95657	0.68238	0.83625
APITD1	10	-0.037845	-0.30854	0.866	0.98067	0.75767	0.9354	-0.081851	-0.6674	0.703	0.90166	0.50452	0.74425
APLF	10	0.028094	0.15327	0.785	0.97655	0.87819	0.96824	-0.25377	-1.3842	0.195	0.58735	0.16629	0.42564
APLP2	10	0.16687	1.2942	0.207	0.76042	0.19561	0.66328	0.14533	1.1273	0.277	0.66746	0.25961	0.53842
APOA1	10	0.11093	1.0746	0.389	0.88838	0.28254	0.73578	0.052391	0.50758	0.636	0.88333	0.61174	0.80021
APOBEC1	10	0.061725	0.14037	0.613	0.9662	0.88836	0.97089	-0.063262	-0.14385	0.807	0.95657	0.88562	0.96263
APOBEC3A	10	0.030511	0.26206	0.774	0.97382	0.79328	0.94062	0.1067	0.91689	0.427	0.77636	0.3592	0.63128
APOBEC3B	10	-0.022021	-0.16153	0.946	0.98861	0.87168	0.96531	-0.0559	-0.41013	0.828	0.95716	0.68171	0.83625
APOBEC3C	10	0.060617	0.55787	0.616	0.9662	0.57693	0.89599	0.15283	1.4075	0.251	0.64377	0.15927	0.41613
APOBEC3F	10	0.15404	0.98985	0.232	0.78114	0.32225	0.763	0.10476	0.67335	0.439	0.7847	0.50072	0.74425
APOBEC3G	10	0.13379	0.93695	0.288	0.80672	0.34879	0.77975	0.15544	1.089	0.243	0.63446	0.27617	0.55345
APOBEC3H	10	0.059932	0.48464	0.619	0.9662	0.62793	0.91164	0.10346	0.83691	0.441	0.7847	0.40264	0.66995
APPBP2	10	-0.24878	-2.7179	0.143	0.65919	0.0065705	0.15644	0.097876	1.0705	0.465	0.8045	0.2844	0.56206
APPL1	10	0.023007	0.21113	0.822	0.97655	0.83279	0.95503	0.046834	0.42992	0.662	0.89037	0.66725	0.82888
APPL2	10	0.065807	0.4666	0.592	0.9662	0.64079	0.91164	0.14837	1.0523	0.264	0.65025	0.29267	0.57387
APP	10	0.21824	1.5555	0.096	0.55491	0.11983	0.5396	0.30095	2.1453	0.045	0.33094	0.031931	0.19236
APRT	10	-0.077532	-0.68328	0.669	0.9662	0.49443	0.86138	-0.48467	-4.2704	0.016	0.16842	1.951e-05	0.0005912
APTX	10	-0.24743	-1.6914	0.145	0.65919	0.090758	0.48275	-0.097579	-0.66752	0.642	0.88552	0.50444	0.74425
AQP1	10	0.0048483	0.040887	0.913	0.98067	0.96739	0.99451	0.18102	1.5273	0.181	0.56562	0.1267	0.37817
AQR	10	-0.46085	-1.9629	0.007	0.16667	0.049658	0.40703	-0.66293	-2.8209	0.001	0.02	0.0047889	0.054444
ARAF	10	0.29417	2.1505	0.026	0.34568	0.031517	0.33529	0.35886	2.6239	0.016	0.16842	0.0086923	0.082081
ARAP1	10	-0.10279	-1.0194	0.552	0.96167	0.308	0.75491	0.092475	0.91725	0.491	0.81864	0.35901	0.63128
ARFGAP1	10	-0.083473	-0.59834	0.642	0.9662	0.54961	0.88632	0.0058151	0.041716	0.856	0.95749	0.96673	0.99374
ARFGAP2	10	0.26348	1.933	0.044	0.42718	0.053233	0.41276	0.15289	1.1217	0.251	0.64377	0.26198	0.53842
ARFGEF1	10	-0.45027	-2.4393	0.01	0.20408	0.014715	0.25612	-0.59145	-3.2035	0.003	0.054545	0.0013576	0.019675
ARGFX	10	0.050737	0.37285	0.666	0.9662	0.70926	0.92151	0.36992	2.72	0.015	0.16842	0.0065273	0.068709
ARGLU1	10	-0.48133	-2.5466	0.006	0.15	0.010879	0.22665	-0.30985	-1.6418	0.116	0.4856	0.10063	0.32885
ARHGAP19	10	0.2386	1.4396	0.065	0.50769	0.14998	0.58357	0.27652	1.669	0.061	0.37576	0.095123	0.31913
ARHGAP22	10	-0.11831	-0.72398	0.483	0.94336	0.46908	0.85287	-0.21163	-1.2953	0.278	0.66746	0.19523	0.46373
ARHGAP35	10	0.038404	0.29617	0.736	0.97154	0.7671	0.93675	0.12082	0.93189	0.353	0.70741	0.35139	0.62766
ARHGAP39	10	0.086737	0.85018	0.494	0.94636	0.39523	0.80503	-0.18647	-1.8271	0.342	0.70741	0.067678	0.27953
ARHGAP4	10	-0.15499	-1.3598	0.353	0.8652	0.1739	0.63466	0.084474	0.74266	0.516	0.81947	0.45769	0.70849
ARHGEF10	10	0.14678	1.2173	0.246	0.78413	0.22349	0.68454	0.097899	0.81201	0.465	0.8045	0.41679	0.67991
ARHGEF11	10	0.083652	0.76498	0.51	0.95185	0.44428	0.82932	0.05156	0.47161	0.637	0.8835	0.6372	0.81385
ARHGEF2	10	-0.15107	-1.2951	0.365	0.86905	0.19528	0.66328	-0.16387	-1.405	0.411	0.76952	0.16003	0.41613
ARID1A	10	-0.02455	-0.16184	0.928	0.98618	0.87143	0.96531	-0.24249	-1.5977	0.216	0.6119	0.11011	0.34627
ARID1B	10	-0.43147	-2.7437	0.017	0.27869	0.0060753	0.15188	-0.13326	-0.85044	0.501	0.81947	0.39508	0.66178
ARID2	10	0.25626	1.9551	0.048	0.43243	0.050569	0.40782	-0.27335	-2.085	0.159	0.5298	0.037072	0.20278
ARID3A	10	0.10206	0.4342	0.436	0.93177	0.66414	0.92151	0.50207	2.1378	0.002	0.038462	0.032535	0.19275
ARID3B	10	-0.0022032	-0.019282	0.949	0.98861	0.98462	0.99451	-0.28236	-2.4709	0.148	0.51034	0.013476	0.1123
ARID3C	10	-0.28062	-2.1796	0.093	0.5503	0.02929	0.3291	-0.18896	-1.4686	0.332	0.69895	0.14195	0.38998
ARID4A	10	0.18003	1.488	0.165	0.6971	0.13675	0.56914	0.06358	0.52549	0.59	0.86404	0.59924	0.79583
ARID4B	10	0.03638	0.27644	0.745	0.97154	0.78221	0.93689	0.13977	1.063	0.289	0.67523	0.28776	0.56534
ARID5A	10	-0.18761	-1.3393	0.274	0.80508	0.18047	0.64163	0.035821	0.25577	0.704	0.90166	0.79813	0.89677
ARID5B	10	0.069607	0.58232	0.573	0.9662	0.56035	0.88992	0.084107	0.7042	0.516	0.81947	0.48131	0.72979
ARL2BP	10	0.13914	1.3398	0.272	0.80508	0.18031	0.64163	0.055286	0.53246	0.626	0.87921	0.59441	0.79466
ARL2	10	-0.45325	-1.6449	0.01	0.20408	0.099992	0.49166	-0.89559	-3.2319	0	0	0.0012296	0.018083
ARL3	10	0.12534	0.75903	0.318	0.83465	0.44783	0.82932	-0.03837	-0.23227	0.904	0.96996	0.81633	0.90905
ARL4C	10	-0.046091	-0.49008	0.818	0.97655	0.62407	0.91164	0.058925	0.62661	0.607	0.87088	0.53091	0.75473
ARL4D	10	-0.21047	-1.7434	0.215	0.76042	0.081266	0.46705	-0.30644	-2.5384	0.119	0.48571	0.011137	0.096009
ARL6IP4	10	0.10312	0.95124	0.43	0.92873	0.34148	0.77975	0.17577	1.6217	0.194	0.5861	0.10487	0.33724
ARL8A	10	0.098071	0.78482	0.453	0.93725	0.43256	0.82049	0.18594	1.4882	0.177	0.56562	0.1367	0.38402
ARL8B	10	0.19225	1.6744	0.142	0.65919	0.094043	0.48547	0.17314	1.5083	0.2	0.59347	0.13148	0.38321
ARNT2	10	0.058317	0.31962	0.626	0.9662	0.74926	0.93427	0.31678	1.7417	0.035	0.28226	0.081555	0.30094
ARNTL2	10	-0.30879	-1.7684	0.069	0.5188	0.077001	0.45834	-0.28874	-1.6542	0.142	0.50175	0.098087	0.32479
ARNTL	10	0.11314	0.9469	0.376	0.88167	0.34369	0.77975	0.15977	1.3373	0.231	0.62097	0.18114	0.44909
ARNT	10	0.055399	0.46925	0.644	0.9662	0.63889	0.91164	0.14276	1.2095	0.281	0.66746	0.22647	0.49711
ARRB2	10	0.090813	0.8007	0.478	0.93725	0.4233	0.81405	0.10518	0.92757	0.439	0.7847	0.35363	0.62766
ARVCF	10	-0.195	-1.6215	0.255	0.79448	0.1049	0.49717	0.038857	0.32336	0.694	0.90039	0.74642	0.86923
ARX	10	0.056103	0.29889	0.641	0.9662	0.76502	0.93675	0.25853	1.3786	0.077	0.41848	0.16803	0.42807
AR	10	0.21244	1.2793	0.108	0.59016	0.2008	0.66491	0.34361	2.07	0.021	0.20588	0.038457	0.20787
ASB8	10	-0.15503	-1.3129	0.353	0.8652	0.18922	0.65248	0.11992	1.0168	0.358	0.71032	0.30927	0.58362
ASB9	10	-0.046184	-0.51296	0.817	0.97655	0.60798	0.90762	-0.026995	-0.29985	0.959	0.98359	0.7643	0.88013
ASCC1	10	0.1584	1.1066	0.219	0.76042	0.26845	0.72436	-0.28822	-2.0115	0.142	0.50175	0.044273	0.22821
ASCC3	10	0.33691	1.883	0.01	0.20408	0.059697	0.42872	0.15416	0.86112	0.246	0.63731	0.38917	0.65582
ASCL1	10	0.013247	0.1319	0.88	0.98067	0.89506	0.97501	0.16484	1.6427	0.217	0.61299	0.10044	0.32885
ASCL2	10	0.40151	2.3746	0.005	0.14286	0.017569	0.26269	0.046205	0.27317	0.665	0.89037	0.78472	0.89008
ASCL3	10	-0.013363	-0.12595	0.999	0.999	0.89977	0.97669	0.087686	0.82679	0.509	0.81947	0.40836	0.67532
ASF1A	10	0.029103	0.2608	0.78	0.97382	0.79424	0.94062	0.1387	1.2434	0.294	0.67898	0.21371	0.48571
ASF1B	10	-0.0044429	-0.038704	0.955	0.98861	0.96913	0.99451	-0.030223	-0.26337	0.946	0.98133	0.79227	0.89514
ASH1L	10	-0.133	-1.0534	0.437	0.93177	0.29216	0.74339	-0.092387	-0.73186	0.666	0.89037	0.46425	0.71424
ASH2L	10	-0.43718	-2.4213	0.016	0.27869	0.015465	0.25612	-0.93737	-5.1796	0	0	2.2238e-07	1.8355e-05
ASNA1	10	-0.38644	-1.7207	0.031	0.36471	0.085298	0.47126	-0.79501	-3.5354	0.001	0.02	0.00040708	0.0074015
ASPA	10	0.036347	0.31473	0.745	0.97154	0.75296	0.93427	-0.1205	-1.0433	0.545	0.83689	0.29681	0.57971
ASPM	10	-0.39056	-2.6186	0.027	0.34568	0.0088296	0.19621	-0.4946	-3.3162	0.011	0.1358	0.0009124	0.014716
ASRGL1	10	0.09893	0.86093	0.45	0.93725	0.38928	0.80503	0.0025969	0.022599	0.881	0.96397	0.98197	0.99374
ASUN	10	0.066673	0.31067	0.584	0.9662	0.75605	0.93455	-0.2871	-1.335	0.143	0.50175	0.18188	0.44909
ASXL1	10	0.10419	1.1855	0.423	0.92576	0.23582	0.6924	-0.064574	-0.73472	0.797	0.95657	0.46251	0.71375
ASXL2	10	0.01921	0.15337	0.841	0.97905	0.87811	0.96824	0.13024	1.0403	0.317	0.68913	0.2982	0.58128
ASXL3	10	-0.068129	-0.51401	0.716	0.97154	0.60725	0.90762	0.037816	0.2854	0.695	0.90039	0.77533	0.88508
ASZ1	10	0.21112	1.8738	0.108	0.59016	0.060955	0.42872	0.20162	1.7896	0.139	0.50175	0.073525	0.29061
ATAD2	10	0.13461	1.2446	0.287	0.80618	0.21327	0.68007	0.20452	1.8913	0.135	0.50175	0.058587	0.26187
ATAD5	10	0.18911	1.1717	0.146	0.65919	0.24133	0.6954	-0.014494	-0.089766	0.976	0.98889	0.92847	0.97837
ATE1	10	0.23484	1.5444	0.072	0.52857	0.12249	0.5396	0.16794	1.1045	0.208	0.6029	0.26937	0.54308
ATF1	10	0.12017	0.95082	0.34	0.86076	0.3417	0.77975	0.055515	0.43929	0.626	0.87921	0.66045	0.82524
ATF2	10	-0.092953	-0.82016	0.59	0.9662	0.41213	0.80503	0.040889	0.361	0.681	0.89605	0.7181	0.85801
ATF3	10	-0.11086	-0.89635	0.514	0.95185	0.37007	0.79928	0.081424	0.65933	0.522	0.81947	0.50969	0.74594
ATF4	10	-0.37409	-3.3658	0.033	0.36667	0.00076324	0.046179	-0.28733	-2.5876	0.143	0.50175	0.0096636	0.086282
ATF5	10	-0.030086	-0.29359	0.903	0.98067	0.76907	0.93675	0.13408	1.3089	0.305	0.68539	0.19055	0.4591
ATF6B	10	0.035488	0.29044	0.75	0.97154	0.77148	0.93689	0.026257	0.21495	0.772	0.94492	0.82981	0.91793
ATF6	10	-0.09343	-0.55616	0.59	0.9662	0.5781	0.89599	0.20494	1.2237	0.133	0.50175	0.22105	0.49268
ATF7IP2	10	0.083146	0.92596	0.512	0.95185	0.35447	0.78202	0.20112	2.2403	0.139	0.50175	0.025072	0.16715
ATF7IP	10	0.29156	2.0383	0.028	0.34568	0.041524	0.36747	0.091804	0.64163	0.495	0.81947	0.52111	0.75371
ATF7	10	0.15234	1.3906	0.236	0.78176	0.16434	0.61528	0.1612	1.472	0.226	0.6158	0.14102	0.3885
ATMIN	10	-0.17566	-0.9646	0.301	0.82466	0.33474	0.77735	-0.53159	-2.9183	0.006	0.085714	0.0035199	0.042926
ATM	10	0.29369	2.0009	0.026	0.34568	0.045404	0.39098	0.29192	1.989	0.049	0.34028	0.046697	0.23825
ATN1	10	-0.035091	-0.22321	0.881	0.98067	0.82337	0.95298	0.14032	0.89401	0.288	0.67523	0.37132	0.6413
ATOH8	10	0.002407	0.018462	0.923	0.98401	0.98527	0.99451	-0.051835	-0.39773	0.846	0.95716	0.69083	0.83984
ATP1A3	10	0.048431	0.27421	0.677	0.9662	0.78392	0.93689	-0.31576	-1.7856	0.111	0.4856	0.074165	0.29072
ATP1B4	10	0.047676	0.45802	0.679	0.9662	0.64694	0.91164	0.10351	0.99451	0.441	0.7847	0.31998	0.59623
ATP2A3	10	0.038833	0.31682	0.733	0.97154	0.75138	0.93427	0.29921	2.4423	0.046	0.33094	0.014596	0.11866
ATP5A1	10	-0.32094	-1.7327	0.063	0.50769	0.083143	0.46725	-0.81252	-4.38	0	0	1.1866e-05	0.00039554
ATP6V0A1	10	-0.015911	-0.11756	0.986	0.99596	0.90642	0.97669	-0.099816	-0.7375	0.625	0.87921	0.46082	0.71224
ATPAF2	10	-0.3279	-1.9175	0.059	0.50427	0.055176	0.42119	-0.52214	-3.053	0.008	0.10811	0.0022657	0.030617
ATRAID	10	0.048843	0.40311	0.675	0.9662	0.68687	0.92151	0.06122	0.5053	0.597	0.86773	0.61335	0.80021
ATRIP	10	-0.080748	-0.52785	0.657	0.9662	0.59761	0.90515	-0.27512	-1.7981	0.158	0.5298	0.072168	0.28703
ATRX	10	0.25735	1.8924	0.048	0.43243	0.058443	0.42872	0.1613	1.1862	0.226	0.6158	0.23556	0.50827
ATR	10	0.058169	0.29406	0.627	0.9662	0.76871	0.93675	-0.42358	-2.1394	0.032	0.2735	0.032407	0.19275
ATXN1L	10	0.072561	0.54908	0.56	0.96422	0.58295	0.89599	0.33908	2.568	0.025	0.23585	0.010229	0.090518
ATXN1	10	-0.050744	-0.3712	0.798	0.97655	0.71049	0.92151	0.085061	0.62368	0.516	0.81947	0.53284	0.75473
ATXN2L	10	-0.18575	-1.2372	0.279	0.80508	0.21601	0.68454	-0.13867	-0.92438	0.48	0.81113	0.35529	0.62883
ATXN2	10	-0.035178	-0.2337	0.881	0.98067	0.81522	0.95298	0.39244	2.6133	0.011	0.1358	0.0089678	0.082308
ATXN3	10	-0.21656	-1.431	0.196	0.75096	0.15242	0.59079	-0.092581	-0.61228	0.664	0.89037	0.54035	0.75892
ATXN7L3	10	0.13876	0.76941	0.273	0.80508	0.44165	0.82826	-0.11552	-0.64044	0.565	0.84077	0.52189	0.75371
ATXN7	10	-0.052993	-0.50296	0.786	0.97655	0.61499	0.90762	0.0024701	0.023452	0.881	0.96397	0.98129	0.99374
AUNIP	10	0.021291	0.22482	0.831	0.97655	0.82212	0.95298	0.10629	1.123	0.434	0.7847	0.26145	0.53842
AUP1	10	-0.097475	-0.81694	0.575	0.9662	0.41397	0.80503	0.029581	0.24798	0.75	0.934	0.80415	0.89828
AURKAIP1	10	-0.26111	-1.8234	0.122	0.63542	0.068236	0.43298	-0.16787	-1.1741	0.396	0.75429	0.24035	0.51378
AURKA	10	0.15947	1.1549	0.218	0.76042	0.24814	0.69898	-0.053709	-0.38893	0.837	0.95716	0.69733	0.8432
AURKB	10	-0.28752	-1.8615	0.09	0.5503	0.06267	0.42872	-0.29281	-1.896	0.135	0.50175	0.05796	0.26108
AURKC	10	0.19057	1.7281	0.143	0.65919	0.08397	0.46725	0.1965	1.7819	0.148	0.51034	0.074766	0.29092
AVPI1	10	-0.10577	-0.99731	0.543	0.96127	0.31862	0.75974	-0.0053809	-0.050745	0.925	0.9728	0.95953	0.99125
AXIN1	10	0.096973	0.61944	0.459	0.93725	0.53563	0.88074	0.30607	1.9568	0.045	0.33094	0.050376	0.24252
AXIN2	10	0.23783	1.6566	0.066	0.50769	0.097597	0.48799	-0.064269	-0.44753	0.798	0.95657	0.65449	0.8212
AXL	10	0.03569	0.34833	0.748	0.97154	0.72759	0.9262	0.20179	1.9696	0.139	0.50175	0.048879	0.24171
AZI1	10	-0.00060814	-0.0073335	0.942	0.98861	0.99415	0.99714	-0.11342	-1.3677	0.573	0.84889	0.17142	0.43506
B9D2	10	0.023474	0.31343	0.819	0.97655	0.75395	0.93427	-0.069588	-0.92917	0.768	0.94492	0.3528	0.62766
BAALC	10	0.16382	1.2221	0.21	0.76042	0.22167	0.68454	0.020287	0.15133	0.797	0.95657	0.87972	0.9583
BABAM1	10	-0.016488	-0.16847	0.982	0.99596	0.86622	0.96353	-0.034581	-0.35343	0.92	0.97252	0.72377	0.86084
BACH1	10	0.21905	2.081	0.093	0.5503	0.037434	0.36344	0.079458	0.75476	0.529	0.82527	0.45039	0.70484
BACH2	10	-0.13623	-1.3508	0.428	0.92641	0.17676	0.6377	-0.012253	-0.12157	0.968	0.98776	0.90324	0.96914
BAG1	10	-0.037199	-0.22946	0.871	0.98067	0.81851	0.95298	-0.39184	-2.4146	0.052	0.34667	0.015752	0.1243
BAG4	10	-0.064116	-0.3709	0.732	0.97154	0.71071	0.92151	0.077181	0.44764	0.535	0.83075	0.65441	0.8212
BAG6	10	-0.28542	-1.8686	0.092	0.5503	0.061673	0.42872	-0.59634	-3.9026	0.003	0.054545	9.5174e-05	0.0025046
BAHD1	10	0.082264	0.56636	0.514	0.95185	0.57115	0.89381	-0.16683	-1.1483	0.401	0.76236	0.25086	0.52701
BAIAP2L1	10	0.083243	0.54881	0.512	0.95185	0.58314	0.89599	0.1779	1.1755	0.191	0.58232	0.2398	0.51378
BAIAP2	10	-0.21829	-2.48	0.193	0.75	0.013139	0.25267	-0.11522	-1.3094	0.565	0.84077	0.19041	0.4591
BANF2	10	0.1461	1.1827	0.247	0.78413	0.23694	0.69281	0.28214	2.2848	0.056	0.35897	0.022323	0.15548
BANP	10	-0.20988	-1.6877	0.219	0.76042	0.091477	0.48401	-0.21188	-1.7038	0.278	0.66746	0.088416	0.31234
BAP1	10	-0.30221	-1.6802	0.076	0.53901	0.092918	0.48547	-0.92549	-5.1264	0	0	2.9539e-07	2.1099e-05
BARD1	10	0.25341	1.9329	0.051	0.44737	0.053245	0.41276	0.053182	0.40562	0.632	0.88022	0.68502	0.83846
BARHL1	10	0.15203	0.82187	0.237	0.78176	0.41115	0.80503	0.34264	1.8545	0.022	0.21154	0.063672	0.27308
BARHL2	10	0.14404	1.1085	0.259	0.79448	0.26766	0.72436	-0.034101	-0.2623	0.923	0.9726	0.79309	0.89514
BARX1	10	-0.039541	-0.17841	0.855	0.97945	0.8584	0.95697	0.27837	1.2607	0.058	0.36709	0.20741	0.47919
BARX2	10	0.04446	0.35335	0.699	0.97083	0.72382	0.92561	0.062049	0.49333	0.594	0.86463	0.62178	0.80437
BASP1	10	0.29852	1.5263	0.022	0.31884	0.12694	0.55191	0.43163	2.2103	0.006	0.085714	0.027084	0.17587
BATF2	10	-0.23329	-2.1413	0.166	0.6971	0.032252	0.33794	-0.10184	-0.93593	0.622	0.87921	0.34931	0.62712
BATF3	10	-0.14489	-0.74451	0.387	0.88838	0.45657	0.83774	0.07214	0.37125	0.553	0.83837	0.71045	0.854
BATF	10	0.18505	1.9901	0.155	0.68584	0.046583	0.39477	-0.080638	-0.86675	0.706	0.90166	0.38608	0.65437
BAX	10	0.073385	0.4815	0.557	0.96422	0.63016	0.91164	0.34353	2.2553	0.021	0.20588	0.024112	0.16292
BAZ1A	10	0.10575	0.58403	0.415	0.92035	0.5592	0.88992	-0.30395	-1.672	0.121	0.48594	0.094531	0.31913
BAZ1B	10	-0.35815	-2.3452	0.038	0.39583	0.019016	0.26269	0.20294	1.3304	0.139	0.50175	0.18339	0.45058
BAZ2A	10	-0.1386	-1.0079	0.422	0.92576	0.31351	0.7578	-0.27197	-1.9775	0.16	0.5298	0.047981	0.24064
BAZ2B	10	-0.17222	-1.5158	0.311	0.82493	0.12956	0.55512	-0.21453	-1.8886	0.27	0.65693	0.058948	0.26199
BBS9	10	0.12287	0.82275	0.33	0.85052	0.41065	0.80503	0.09687	0.64877	0.469	0.80584	0.51649	0.75071
BBX	10	0.20361	1.6134	0.124	0.63918	0.10665	0.4984	0.35498	2.8135	0.017	0.17708	0.0049	0.054444
BCAS2	10	-0.45518	-3.1587	0.008	0.18605	0.0015848	0.058731	-0.48428	-3.3612	0.016	0.16842	0.00077609	0.012935
BCAS3	10	-0.01056	-0.10592	0.986	0.99596	0.91565	0.97987	0.12481	1.2524	0.343	0.70741	0.21044	0.48347
BCAT1	10	0.28783	2.1235	0.032	0.36667	0.033713	0.34756	0.086599	0.63883	0.512	0.81947	0.52293	0.75371
BCCIP	10	-0.041446	-0.26524	0.845	0.97917	0.79082	0.94062	-0.24282	-1.5538	0.215	0.6108	0.12023	0.36656
BCHE	10	0.36165	2.0642	0.005	0.14286	0.038996	0.36747	0.17994	1.0269	0.185	0.57099	0.30449	0.5829
BCKDK	10	0.26475	2.8783	0.043	0.42157	0.0039985	0.11028	0.13015	1.415	0.317	0.68913	0.15708	0.41613
BCL10	10	-0.059364	-0.38463	0.758	0.97382	0.70051	0.92151	0.073863	0.479	0.547	0.83689	0.63194	0.81077
BCL11A	10	0.29348	1.8412	0.026	0.34568	0.065594	0.42872	-0.10087	-0.63242	0.622	0.87921	0.52711	0.75371
BCL11B	10	0.098894	0.68693	0.45	0.93725	0.49213	0.86138	0.14739	1.0243	0.269	0.65693	0.30571	0.5829
BCL2L10	10	0.14973	0.99476	0.24	0.78176	0.31985	0.75974	0.10097	0.67094	0.453	0.79613	0.50226	0.74425
BCL2L13	10	0.015409	0.11706	0.862	0.98067	0.90681	0.97669	0.093963	0.71432	0.487	0.81575	0.47503	0.72524
BCL2L1	10	-0.22069	-1.1307	0.187	0.73622	0.25818	0.71346	-0.87517	-4.4383	0	0	9.0667e-06	0.00032381
BCL2	10	-0.86583	-3.4726	0	0	0.00051549	0.037695	-1.1664	-4.6693	0	0	3.0229e-06	0.00013741
BCL3	10	0.079332	0.40561	0.522	0.95446	0.68503	0.92151	-0.10387	-0.53059	0.611	0.87286	0.59571	0.79533
BCL6B	10	0.21128	1.7274	0.108	0.59016	0.084105	0.46725	0.099529	0.81372	0.458	0.8021	0.41581	0.67991
BCL6	10	0.022957	0.20006	0.822	0.97655	0.84143	0.95525	-0.0024188	-0.02108	0.905	0.96999	0.98318	0.99374
BCL9L	10	0.062117	0.35938	0.613	0.9662	0.71931	0.9222	0.25652	1.4854	0.079	0.42246	0.13744	0.38402
BCL9	10	0.092867	0.85777	0.471	0.93725	0.39102	0.80503	0.05466	0.50495	0.629	0.88022	0.61359	0.80021
BCLAF1	10	-0.14757	-1.1594	0.375	0.88167	0.2463	0.69773	-0.33838	-2.6579	0.086	0.4433	0.007863	0.077852
BCORL1	10	-0.0069994	-0.073915	0.966	0.99281	0.94108	0.98873	0.12442	1.3141	0.343	0.70741	0.18882	0.4572
BCOR	10	0.29117	1.9713	0.028	0.34568	0.048686	0.40572	0.0021258	0.014383	0.882	0.96397	0.98852	0.99374
BCR	10	0.011853	0.057686	0.883	0.98067	0.954	0.99065	-1.6485	-7.9989	0	0	1.255e-15	1.255e-12
BDH1	10	0.22397	1.6134	0.084	0.54902	0.10666	0.4984	0.29833	2.1498	0.046	0.33094	0.03157	0.19236
BDP1	10	-0.62472	-3.7753	0	0	0.00015983	0.031615	-0.43092	-2.6075	0.03	0.26316	0.0091193	0.082308
BECN1	10	0.050209	0.41747	0.671	0.9662	0.67633	0.92151	0.052545	0.43696	0.634	0.88178	0.66214	0.82524
BET1L	10	0.047917	0.37639	0.678	0.9662	0.70662	0.92151	0.14863	1.1681	0.263	0.65025	0.24275	0.51539
BEX1	10	0.099667	0.95547	0.449	0.93725	0.33934	0.77975	0.29352	2.8148	0.049	0.34028	0.0048803	0.054444
BEX2	10	-0.071486	-0.64635	0.701	0.97091	0.51805	0.87361	-0.024647	-0.22294	0.975	0.98889	0.82358	0.91407
BEX4	10	0.053084	0.2847	0.655	0.9662	0.77588	0.93689	0.2819	1.5172	0.056	0.35897	0.12922	0.38229
BHLHA15	10	0.11842	1.0464	0.353	0.8652	0.29539	0.74339	0.015797	0.13959	0.813	0.95657	0.88898	0.96294
BHLHB9	10	0.16292	1.545	0.212	0.76042	0.12235	0.5396	0.22352	2.1206	0.113	0.4856	0.033955	0.19293
BHLHE23	10	0.063485	0.57995	0.605	0.9662	0.56195	0.89024	0.14676	1.3412	0.27	0.65693	0.17985	0.44851
